question,answer
വിളകൾ എന്താണ്?,വിളകൾ കൃഷിക്കാർ വളർത്തുന്ന സസ്യങ്ങളാണ്. ഇന്ത്യൻ സമ്പദ് വ്യവസ്ഥയിൽ കൃഷി പ്രധാനപ്പെട്ട പങ്ക് വഹിക്കുന്നു.
ഖരിഫ് വിളകൾ എന്താണ്?,"മൺസൂൺ സീസണിൽ വളർത്തുന്ന വിളകളെയാണ് ഖരിഫ് വിളകൾ എന്ന് പറയുന്നത്. ഉദാഹരണം: ചോളം, മില്ലറ്റ്, കോട്ടൺ."
റാബി വിളകൾ എന്താണ്?,"ശൈത്യകാലത്ത് വളർത്തുകയും വസന്തകാലത്ത് വിളവെടുക്കുകയും ചെയ്യുന്ന വിളകളെയാണ് റാബി വിളകൾ എന്ന് പറയുന്നത്. ഉദാഹരണം: ഗോതമ്പ്, ഗ്രാം, കടുക്."
സൈഡ് ക്രോപ്പുകൾ എന്താണ്?,"ഖാരിഫ്, റാബി സീസണുകൾക്കിടയിൽ വളർത്തുന്ന വിളകളാണ് സൈഡ് ക്രോപ്പുകൾ. ഉദാഹരണം: കുക്കുമ്പർ, മത്തങ്ങ, കയ്പേറിയ പൊറോട്ട, തണ്ണിമത്തൻ."
വിള ഉൽപാദനത്തെ ബാധിക്കുന്ന ആന്തരിക ഘടകങ്ങൾ എന്തൊക്കെയാണ്?,"ജനിതക മേക്കപ്പ്, വർധിച്ച വിളവ് ലഭിക്കുന്ന കഴിവ്, വരൾച്ച, വെള്ളപ്പൊക്കം എന്നിവയ്ക്കുള്ള പ്രതിരോധം എന്നിവ വിള ഉൽപാദനത്തെ ബാധിക്കുന്ന ആന്തരിക ഘടകങ്ങളാണ്."
വിള ഉൽപാദനത്തെ ബാധിക്കുന്ന ബാഹ്യ ഘടകങ്ങൾ എന്തൊക്കെയാണ്?,"കാലാവസ്ഥാ ഘടകങ്ങൾ, എഡാഫിക് ഘടകങ്ങൾ, ബയോട്ടിക് ഘടകങ്ങൾ, സാമൂഹിക-സാമ്പത്തിക ഘടകങ്ങൾ എന്നിവ വിള ഉൽപാദനത്തെ ബാധിക്കുന്നു."
കാലാവസ്ഥാ ഘടകങ്ങളിൽ പ്രധാനമായവ ഏതൊക്കെയാണ്?,"മഴ, താപനില, അന്തരീക്ഷ ഈർപ്പം, സൗരോർജ്ജം, കാറ്റിന്റെ വേഗത, അന്തരീക്ഷ വാതകങ്ങൾ എന്നിവ പ്രധാന ഘടകങ്ങളാണ്."
പണമൊഴുക്ക് വിളകൾ എന്താണ്?,"വിൽപ്പനയിൽ നിന്ന് ലാഭം നേടാൻ വിപണിയിൽ വിൽക്കാൻ കൃഷി ചെയ്യുന്ന വിളകളാണ് പണമൊഴുക്ക് വിളകൾ. ഉദാഹരണം: കോഫി, ചായ, കൊക്കോ, കോട്ടൺ."
ഇന്ത്യൻ കൃഷിയുടെ പ്രധാന വൈശിഷ്ട്യങ്ങൾ എന്തൊക്കെയാണ്?,"ഇന്ത്യൻ കൃഷി മൺസൂണിന്റെ പ്രവണതയെ ആശ്രയിച്ചിരിക്കുന്നു. കൂടാതെ ചെറുകിട കർഷകർ, വ്യത്യസ്ത വിള വർഗ്ഗങ്ങൾ, വിവിധ കാലാവസ്ഥ പറ്റിയ മണ്ണ് എന്നിവയാണ് പ്രധാന വൈശിഷ്ട്യങ്ങൾ."
പതിവായി കർഷകർ നേരിടുന്ന പ്രധാന പ്രശ്നങ്ങൾ എന്തൊക്കെയാണ്?,"വെള്ളക്ഷാമം, താനെക്കെടുതികൾ, നാണ്യവിളയുടെ വില താഴ്ന്നു പോകൽ, മണ്ണിന്റെ നിലവാരത്തിന്റെ കുറവ്, ബഹുനാഷം എന്നിവ പ്രധാന പ്രശ്നങ്ങളാണ്."
